Company;Date ;Announcement ;
APPL;07/03/2023;iPhone SE (3rd Gen);
TECHY;14/03/2023;Game innovations at GDC 2023.;
NVDA;21/03/2023;NVDA DGX Cloud;
NVDA;28/03/2023;NVDA AI Foundations;
TSLA;29/03/2023;TSLA Investor Day;
TSMC;15/04/2023;2nm production targeted for 2025.;
AMZN;20/04/2023;AMZN's AI tools (for Alexa);
GOOG;10/05/2023;Google I/O (virtual);
NVDA;30/05/2023;NVDA Spectrum-X Networking;
APPL;05/06/2023;iOS 17, macOS Sonoma, watchOS 10 (WWDC);
TSLA;17/06/2023;TSLA Supercharger V4 Announcement;
META;20/07/2023;Threads;
NVDA;10/08/2023;NVDA L4 GPU;
TSLA;30/08/2023;Cybertruck Deliveries Start;
AMZN;05/09/2023;AMZN Fire TV (2023 lineup);
APPL;12/09/2023;iPhone 15, iPhone 15 Plus, iPhone 15 Pro, iPhone 15 Pro Max;
NVDA;22/09/2023;GeForce RTX 4070 Ti, RTX 4060;
META;27/09/2023;META Quest 3;
GOOG;04/10/2023;Pixel 8, Pixel 8 Pro;
AMZN;10/10/2023;Echo Show 15 (2nd Gen);
META;10/10/2023;New Advertising Tools;
APPL;30/10/2023;MacBook Pro (14-inch and 16-inch, M3 chip);
TSLA;10/01/2024;TSLA AI Day 2024 Announcement;
META;17/01/2024;META's AI Tools Updates;
NVDA;17/02/2024;NVDA Omniverse Cloud Enhancements;
AVGO;06/03/2024;51.2 Tbps switch for AI data centers.;
TSLA;17/03/2024;New TSLA Roadster Production Timeline;
MSFT;21/03/2024;9.7-inch iPad, Red iPhone 7/7 Plus;
META;05/04/2024;Enhanced Privacy Features for Messenger;
TSMC;05/04/2024;Silicon photonics for data centers.;
NVDA;15/04/2024;NVDA Orin NX for Robotics;
APPL;07/05/2024;New iMac (24-inch) and MacBook Air (15-inch);
GOOG;07/05/2024;Google I/O (virtual);
MSFT;20/05/2024;iOS 11, macOS High Sierra, watchOS 4 (WWDC);
NVDA;09/06/2024;NVDA Spectrum-4 Networking;
APPL;10/06/2024;iOS 18, macOS 15 (WWDC);
TSLA;12/06/2024;TSLA Solar Roof Expansion;
META;24/06/2024;META Platforms for Virtual Reality Integration;
TECHY;15/07/2024;Record gaming revenue H1 2024.;
APPL;09/09/2024;iPhone 16, iPhone 16 Plus;
META;10/09/2024;New Family of AI Products;
TSLA;25/09/2024;New Model S Plaid Performance Update;
NVDA;30/09/2024;Next-Gen GeForce RTX 5000 Series;
NVDA;10/11/2024;NVDA Quantum AI Platforms;
AMZN;12/11/2024;AMZN Prime Day (2024);
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
